Model,Dataset,Accuracy,Size
llama-32-3B-en-Q4_K_M,andreanasuto/mig-en-L3,0.8257777777777778,1125
llama-32-3B-en-Q4_K_M,andreanasuto/mig-en-L3,0.8257777777777778,1125
llama-32-3B-en-Q4_K_M,andreanasuto/mig-es-L3,0.6666666666666666,750
llama-32-3B-en-Q4_K_M,andreanasuto/mig-es-L3,0.6666666666666666,750
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-translation-L3,0.712,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-translation-L3,0.712,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-L3,0.7283809523809524,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-L3,0.7283809523809524,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-ar-L3,0.6666666666666666,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-ar-L3,0.6666666666666666,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-de-L3,0.5866666666666667,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-de-L3,0.5866666666666667,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-fr-L3,0.49333333333333335,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-fr-L3,0.49333333333333335,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hi-L3,0.8266666666666667,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hi-L3,0.8266666666666667,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hu-L3,0.5066666666666667,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hu-L3,0.5066666666666667,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-in-L3,0.84,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-in-L3,0.84,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-it-L3,0.56,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-it-L3,0.56,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pt-L3,0.8133333333333334,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pt-L3,0.8133333333333334,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-tr-L3,0.6266666666666667,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-tr-L3,0.6266666666666667,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pl-L3,0.5333333333333333,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pl-L3,0.5333333333333333,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-en-L3,0.8595555555555555,1125
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-en-L3,0.8595555555555555,1125
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-es-L3,0.7733333333333333,750
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-es-L3,0.7733333333333333,750
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-multi-translation-L3,0.7622857142857142,2625
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-multi-translation-L3,0.7622857142857142,2625
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-multi-L3,0.7878095238095238,2625
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-ar-L3,0.6933333333333334,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-multi-L3,0.7878095238095238,2625
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-de-L3,0.5866666666666667,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-ar-L3,0.6933333333333334,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-fr-L3,0.49333333333333335,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-de-L3,0.5866666666666667,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-fr-L3,0.49333333333333335,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-hi-L3,0.7733333333333333,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-hu-L3,0.6133333333333333,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-hi-L3,0.7733333333333333,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-in-L3,0.9466666666666667,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-hu-L3,0.6133333333333333,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-it-L3,0.5866666666666667,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-in-L3,0.9466666666666667,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-pt-L3,0.8266666666666667,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-it-L3,0.5866666666666667,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-tr-L3,0.6,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-pt-L3,0.8266666666666667,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-pl-L3,0.6,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-tr-L3,0.6,75
llama-32-3B-en-es-Q4_K_M,andreanasuto/mig-pl-L3,0.6,75
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-en-L3,0.8008888888888889,1125
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-en-L3,0.8008888888888889,1125
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-es-L3,0.7773333333333333,750
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-es-L3,0.7773333333333333,750
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-multi-translation-L3,0.7314285714285714,2625
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-multi-translation-L3,0.7314285714285714,2625
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-multi-L3,0.7535238095238095,2625
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-ar-L3,0.6666666666666666,75
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-multi-L3,0.7535238095238095,2625
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-de-L3,0.5866666666666667,75
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-ar-L3,0.6666666666666666,75
llama-32-3B-en-es-full-Q4_K_M,andreanasuto/mig-fr-L3,0.44,75
