Model,Dataset,F1 Score,Size
llama-32-3B-en-Q4_K_M,andreanasuto/mig-en-L3,0.8329402347500527,1125
llama-32-3B-en-Q4_K_M,andreanasuto/mig-en-L3,0.8329402347500527,1125
llama-32-3B-en-Q4_K_M,andreanasuto/mig-es-L3,0.6799009742302191,750
llama-32-3B-en-Q4_K_M,andreanasuto/mig-es-L3,0.6799009742302191,750
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-translation-L3,0.726822076683305,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-translation-L3,0.726822076683305,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-L3,0.7383737736066989,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-L3,0.7383737736066989,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-ar-L3,0.6264154892726321,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-ar-L3,0.6264154892726321,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-de-L3,0.5938843360274749,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-de-L3,0.5938843360274749,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-fr-L3,0.508034188034188,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-fr-L3,0.508034188034188,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hi-L3,0.8166360227150969,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hi-L3,0.8166360227150969,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hu-L3,0.4820756992258919,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hu-L3,0.4820756992258919,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-in-L3,0.8423458646616541,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-in-L3,0.8423458646616541,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-it-L3,0.5614947326575233,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-it-L3,0.5614947326575233,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pt-L3,0.8117882503969461,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pt-L3,0.8117882503969461,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-tr-L3,0.6379324894514767,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-tr-L3,0.6379324894514767,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pl-L3,0.524789027397723,75
