Model,Dataset,F1 Score,Size
llama-32-3B-en-Q4_K_M,andreanasuto/mig-en-L3,0.847768487,1125
llama-32-3B-en-Q4_K_M,andreanasuto/mig-es-L3,0.678210744,750
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-L3,0.74369379,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-ar-L3,0.614237082,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-de-L3,0.596570731,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-fr-L3,0.543900629,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hi-L3,0.801893406,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hu-L3,0.508900772,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-in-L3,0.842619048,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-it-L3,0.56346336,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pt-L3,0.797839316,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-tr-L3,0.624130994,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pl-L3,0.558634269,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-en-L3,0.649587895,1125
llama-32-3B-es-Q4_K_M,andreanasuto/mig-es-L3,0.74325536,750
llama-32-3B-es-Q4_K_M,andreanasuto/mig-multi-L3,0.671727463,2625
llama-32-3B-es-Q4_K_M,andreanasuto/mig-ar-L3,0.524825397,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-de-L3,0.511661376,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-fr-L3,0.476636272,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-hi-L3,0.734685569,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-hu-L3,0.538345154,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-in-L3,0.859555556,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-it-L3,0.567883598,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-pt-L3,0.735707658,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-tr-L3,0.572576569,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-pl-L3,0.46191187,75
llama-32-3B-es,andreanasuto/mig-en-L3,0.690091114,1125
llama-32-3B-es,andreanasuto/mig-es-L3,0.780229647,750
llama-32-3B-es,andreanasuto/mig-multi-L3,0.706604088,2625
llama-32-3B-es,andreanasuto/mig-ar-L3,0.573688013,75
llama-32-3B-es,andreanasuto/mig-de-L3,0.539380619,75
llama-32-3B-es,andreanasuto/mig-fr-L3,0.508936937,75
llama-32-3B-es,andreanasuto/mig-hi-L3,0.749454545,75
llama-32-3B-es,andreanasuto/mig-hu-L3,0.530014493,75
llama-32-3B-es,andreanasuto/mig-in-L3,0.891111111,75
llama-32-3B-es,andreanasuto/mig-it-L3,0.600663221,75
